CTE-0.12-0.009-1.8	SteerValue-0.12-0.009-1.8	CTE-0.12-0.009-1.8-NoBreak	SteerValue-0.12-0.009-1.8-NoBreak
-0.1909	-0.0503495	0.5008	0.146983
-0.1763	-0.037	0.2769	0.292859
-0.1658	-0.030051	0.1197	0.190586
-0.158	-0.025337	-0.0037	0.144587
-0.1549	-0.0164745	-0.0485	0.0089196
-0.2527	0.178145	-0.0263	-0.114108
0.5167	-1	0.01	-0.143934
0.2468	0.424168	0.0661	-0.186901
0.2789	-0.124679	0.096	-0.144193
0.4338	-0.366476	0.0926	-0.084678
0.638	-0.48291	0.0541	-0.0173649
0.7623	-0.357817	-0.0231	0.061767
0.8355	-0.278799	-0.0844	0.0412626
0.8256	-0.132159	-0.1856	0.126897
0.7676	-0.042457	-0.2448	0.0606042
0.6539	0.0681775	-0.2817	0.0274275
0.5428	0.0741155	-0.2881	-0.0241116
0.399	0.148236	-0.2798	-0.0490494
0.2625	0.150164	-0.2567	-0.0761511
0.149	0.121639	-0.2352	-0.0737343
0.067	0.074444	-0.22	-0.0622383
0.0242	0.008899	-0.2149	-0.0427362
-0.0021	-0.0176345	-0.2252	-0.0117534
-0.0209	-0.028774	-0.2438	0.0076128
-0.0307	-0.0436445	-0.2713	0.0293745
-0.0361	-0.050736	-0.2929	0.0239826
-0.0402	-0.052383	-0.3054	0.0118512
-0.0463	-0.0478195	-0.314	0.0086892
-0.0586	-0.0348905	-0.3125	-0.0068583
-0.0766	-0.0220875	-0.3033	-0.0190926
-0.0948	-0.0190695	-0.2843	-0.0364539
-0.1204	-0.0020755	-0.2609	-0.0448338
-0.1481	0.005769	-0.2459	-0.0293007
-0.1698	-0.001578	-0.2303	-0.03018
-0.1896	-0.001674	-0.2182	-0.0233682
-0.2075	-0.0019085	-0.2066	-0.0220008
-0.2233	-0.002676	-0.2009	-0.0102567
-0.24	0.002148	-0.1981	-0.0035898
-0.2529	-0.0018795	-0.1958	-0.0012036
-0.2613	-0.007665	-0.1921	-0.0024387
-0.2651	-0.0141635	-0.1838	-0.0100605
-0.2655	-0.018908	-0.1731	-0.0141066
-0.2631	-0.0229205	-0.1595	-0.0195231
-0.2604	-0.0224825	-0.1404	-0.0304515
-0.2575	-0.021903	-0.1197	-0.0347382
-0.2548	-0.020593	-0.1005	-0.0334377
-0.2517	-0.0204265	-0.0854	-0.0271011
-0.2492	-0.0184005	-0.0768	-0.0157419
-0.2477	-0.015542	-0.1002	0.0455679
-0.2464	-0.014106	-0.3748	0.534053
-0.245	-0.013229	0.7168	-1
-0.243	-0.013334	0.1257	1
-0.2403	-0.0137165	0.3476	-0.457046
-0.2375	-0.013045	0.6137	-0.574061
-0.2341	-0.0133625	0.9389	-0.727915
-0.2301	-0.013772	1.1481	-0.554552
-0.2254	-0.014469	1.1749	-0.240022
-0.22	-0.015277	0.9868	0.160489
-0.2123	-0.0192795	0.6953	0.375331
-0.2038	-0.0207205	0.4902	0.240011
-0.1951	-0.021149	0.2353	0.358121
-0.1882	-0.017796	0.0639	0.227814
-0.1817	-0.0169475	-0.0033	0.048348
